Dex Number,Name,Generation,Status,Species,Stat Total,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Type,Ability,Hidden Ability,Image
479,Rotom,4,Normal,Plasma Pokémon,440,50,50,77,95,77,91,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg) ![/assets/type_icons/Ghost_Type_Icon.svg](/assets/type_icons/Ghost_Type_Icon.svg),Levitate,-,![/assets/home_images/rotom.png](/assets/home_images/rotom.png)
479,Heat Rotom,4,Normal,Plasma Pokémon,520,50,65,107,105,107,86,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg) ![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Levitate,-,![/assets/home_images/rotom-heat.png](/assets/home_images/rotom-heat.png)
479,Wash Rotom,4,Normal,Plasma Pokémon,520,50,65,107,105,107,86,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg) ![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Levitate,-,![/assets/home_images/rotom-wash.png](/assets/home_images/rotom-wash.png)
479,Frost Rotom,4,Normal,Plasma Pokémon,520,50,65,107,105,107,86,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg) ![/assets/type_icons/Ice_Type_Icon.svg](/assets/type_icons/Ice_Type_Icon.svg),Levitate,-,![/assets/home_images/rotom-frost.png](/assets/home_images/rotom-frost.png)
479,Fan Rotom,4,Normal,Plasma Pokémon,520,50,65,107,105,107,86,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Levitate,-,![/assets/home_images/rotom-fan.png](/assets/home_images/rotom-fan.png)
479,Mow Rotom,4,Normal,Plasma Pokémon,520,50,65,107,105,107,86,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Levitate,-,![/assets/home_images/rotom-mow.png](/assets/home_images/rotom-mow.png)
480,Uxie,4,Sub Legendary,Knowledge Pokémon,580,75,75,130,75,130,95,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Levitate,-,![/assets/home_images/uxie.png](/assets/home_images/uxie.png)
481,Mesprit,4,Sub Legendary,Emotion Pokémon,580,80,105,105,105,105,80,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Levitate,-,![/assets/home_images/mesprit.png](/assets/home_images/mesprit.png)
482,Azelf,4,Sub Legendary,Willpower Pokémon,580,75,125,70,125,70,115,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Levitate,-,![/assets/home_images/azelf.png](/assets/home_images/azelf.png)
483,Dialga,4,Legendary,Temporal Pokémon,680,100,120,120,150,100,90,![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Pressure,Telepathy,![/assets/home_images/dialga.png](/assets/home_images/dialga.png)
483,Dialga Origin Forme,4,Legendary,Temporal Pokémon,680,100,100,120,150,120,90,![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Pressure,Telepathy,![/assets/home_images/dialga-origin.png](/assets/home_images/dialga-origin.png)
484,Palkia,4,Legendary,Spatial Pokémon,680,90,120,100,150,120,100,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Pressure,Telepathy,![/assets/home_images/palkia.png](/assets/home_images/palkia.png)
484,Palkia Origin Forme,4,Legendary,Spatial Pokémon,680,90,100,100,150,120,120,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Pressure,Telepathy,![/assets/home_images/palkia-origin.png](/assets/home_images/palkia-origin.png)
485,Heatran,4,Sub Legendary,Lava Dome Pokémon,600,91,90,106,130,106,77,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Flash Fire,Flame Body,![/assets/home_images/heatran.png](/assets/home_images/heatran.png)
486,Regigigas,4,Sub Legendary,Colossal Pokémon,670,110,160,110,80,110,100,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Slow Start,-,![/assets/home_images/regigigas.png](/assets/home_images/regigigas.png)
487,Giratina Altered Forme,4,Legendary,Renegade Pokémon,680,150,100,120,100,120,90,![/assets/type_icons/Ghost_Type_Icon.svg](/assets/type_icons/Ghost_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Pressure,Telepathy,![/assets/home_images/giratina-altered.png](/assets/home_images/giratina-altered.png)
487,Giratina Origin Forme,4,Legendary,Renegade Pokémon,680,150,120,100,120,100,90,![/assets/type_icons/Ghost_Type_Icon.svg](/assets/type_icons/Ghost_Type_Icon.svg) ![/assets/type_icons/Dragon_Type_Icon.svg](/assets/type_icons/Dragon_Type_Icon.svg),Levitate,-,![/assets/home_images/giratina-origin.png](/assets/home_images/giratina-origin.png)
488,Cresselia,4,Sub Legendary,Lunar Pokémon,600,120,70,120,75,130,85,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Levitate,-,![/assets/home_images/cresselia.png](/assets/home_images/cresselia.png)
489,Phione,4,Mythical,Sea Drifter Pokémon,480,80,80,80,80,80,80,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Hydration,-,![/assets/home_images/phione.png](/assets/home_images/phione.png)
490,Manaphy,4,Mythical,Seafaring Pokémon,600,100,100,100,100,100,100,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Hydration,-,![/assets/home_images/manaphy.png](/assets/home_images/manaphy.png)
491,Darkrai,4,Mythical,Pitch-Black Pokémon,600,70,90,90,135,90,125,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Bad Dreams,-,![/assets/home_images/darkrai.png](/assets/home_images/darkrai.png)
492,Shaymin Land Forme,4,Mythical,Gratitude Pokémon,600,100,100,100,100,100,100,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Natural Cure,-,![/assets/home_images/shaymin-land.png](/assets/home_images/shaymin-land.png)
492,Shaymin Sky Forme,4,Mythical,Gratitude Pokémon,600,100,103,75,120,75,127,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Serene Grace,-,![/assets/home_images/shaymin-sky.png](/assets/home_images/shaymin-sky.png)
493,Arceus,4,Mythical,Alpha Pokémon,720,120,120,120,120,120,120,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Multitype,-,![/assets/home_images/arceus.png](/assets/home_images/arceus.png)
494,Victini,5,Mythical,Victory Pokémon,600,100,100,100,100,100,100,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg) ![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Victory Star,-,![/assets/home_images/victini.png](/assets/home_images/victini.png)
495,Snivy,5,Normal,Grass Snake Pokémon,308,45,45,55,45,55,63,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Overgrow,Contrary,![/assets/home_images/snivy.png](/assets/home_images/snivy.png)
496,Servine,5,Normal,Grass Snake Pokémon,413,60,60,75,60,75,83,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Overgrow,Contrary,![/assets/home_images/servine.png](/assets/home_images/servine.png)
497,Serperior,5,Normal,Regal Pokémon,528,75,75,95,75,95,113,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Overgrow,Contrary,![/assets/home_images/serperior.png](/assets/home_images/serperior.png)
498,Tepig,5,Normal,Fire Pig Pokémon,308,65,63,45,45,45,45,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Blaze,Thick Fat,![/assets/home_images/tepig.png](/assets/home_images/tepig.png)
499,Pignite,5,Normal,Fire Pig Pokémon,418,90,93,55,70,55,55,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Blaze,Thick Fat,![/assets/home_images/pignite.png](/assets/home_images/pignite.png)
500,Emboar,5,Normal,Mega Fire Pig Pokémon,528,110,123,65,100,65,65,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg) ![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Blaze,Reckless,![/assets/home_images/emboar.png](/assets/home_images/emboar.png)
501,Oshawott,5,Normal,Sea Otter Pokémon,308,55,55,45,63,45,45,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Torrent,Shell Armor,![/assets/home_images/oshawott.png](/assets/home_images/oshawott.png)
502,Dewott,5,Normal,Discipline Pokémon,413,75,75,60,83,60,60,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Torrent,Shell Armor,![/assets/home_images/dewott.png](/assets/home_images/dewott.png)
503,Samurott,5,Normal,Formidable Pokémon,528,95,100,85,108,70,70,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Torrent,Shell Armor,![/assets/home_images/samurott.png](/assets/home_images/samurott.png)
503,Hisuian Samurott,5,Normal,Formidable Pokémon,528,90,108,80,100,65,85,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg)![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Torrent,Shell Armor,![/assets/home_images/samurott-hisuian.png](/assets/home_images/samurott-hisuian.png)
504,Patrat,5,Normal,Scout Pokémon,255,45,55,39,35,39,42,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Run Away / Keen Eye,Analytic,![/assets/home_images/patrat.png](/assets/home_images/patrat.png)
505,Watchog,5,Normal,Lookout Pokémon,420,60,85,69,60,69,77,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Illuminate / Keen Eye,Analytic,![/assets/home_images/watchog.png](/assets/home_images/watchog.png)
506,Lillipup,5,Normal,Puppy Pokémon,275,45,60,45,25,45,55,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Vital Spirit / Pickup,Run Away,![/assets/home_images/lillipup.png](/assets/home_images/lillipup.png)
507,Herdier,5,Normal,Loyal Dog Pokémon,370,65,80,65,35,65,60,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Intimidate / Sand Rush,Scrappy,![/assets/home_images/herdier.png](/assets/home_images/herdier.png)
508,Stoutland,5,Normal,Big-Hearted Pokémon,500,85,110,90,45,90,80,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Intimidate / Sand Rush,Scrappy,![/assets/home_images/stoutland.png](/assets/home_images/stoutland.png)
509,Purrloin,5,Normal,Devious Pokémon,281,41,50,37,50,37,66,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Limber / Unburden,Prankster,![/assets/home_images/purrloin.png](/assets/home_images/purrloin.png)
510,Liepard,5,Normal,Cruel Pokémon,446,64,88,50,88,50,106,![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Limber / Unburden,Prankster,![/assets/home_images/liepard.png](/assets/home_images/liepard.png)
511,Pansage,5,Normal,Grass Monkey Pokémon,316,50,53,48,53,48,64,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Gluttony,Overgrow,![/assets/home_images/pansage.png](/assets/home_images/pansage.png)
512,Simisage,5,Normal,Thorn Monkey Pokémon,498,75,98,63,98,63,101,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Gluttony,Overgrow,![/assets/home_images/simisage.png](/assets/home_images/simisage.png)
513,Pansear,5,Normal,High Temp Pokémon,316,50,53,48,53,48,64,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Gluttony,Blaze,![/assets/home_images/pansear.png](/assets/home_images/pansear.png)
514,Simisear,5,Normal,Ember Pokémon,498,75,98,63,98,63,101,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Gluttony,Blaze,![/assets/home_images/simisear.png](/assets/home_images/simisear.png)
515,Panpour,5,Normal,Spray Pokémon,316,50,53,48,53,48,64,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Gluttony,Torrent,![/assets/home_images/panpour.png](/assets/home_images/panpour.png)
516,Simipour,5,Normal,Geyser Pokémon,498,75,98,63,98,63,101,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Gluttony,Torrent,![/assets/home_images/simipour.png](/assets/home_images/simipour.png)
517,Munna,5,Normal,Dream Eater Pokémon,292,76,25,45,67,55,24,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Forewarn / Synchronize,Telepathy,![/assets/home_images/munna.png](/assets/home_images/munna.png)
518,Musharna,5,Normal,Drowsing Pokémon,487,116,55,85,107,95,29,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg),Forewarn / Synchronize,Telepathy,![/assets/home_images/musharna.png](/assets/home_images/musharna.png)
519,Pidove,5,Normal,Tiny Pigeon Pokémon,264,50,55,50,36,30,43,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Big Pecks / Super Luck,Rivalry,![/assets/home_images/pidove.png](/assets/home_images/pidove.png)
520,Tranquill,5,Normal,Wild Pigeon Pokémon,358,62,77,62,50,42,65,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Big Pecks / Super Luck,Rivalry,![/assets/home_images/tranquill.png](/assets/home_images/tranquill.png)
521,Unfezant,5,Normal,Proud Pokémon,488,80,115,80,65,55,93,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Big Pecks / Super Luck,Rivalry,![/assets/home_images/unfezant.png](/assets/home_images/unfezant.png)
522,Blitzle,5,Normal,Electrified Pokémon,295,45,60,32,50,32,76,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg),Lightning Rod / Motor Drive,Sap Sipper,![/assets/home_images/blitzle.png](/assets/home_images/blitzle.png)
523,Zebstrika,5,Normal,Thunderbolt Pokémon,497,75,100,63,80,63,116,![/assets/type_icons/Electric_Type_Icon.svg](/assets/type_icons/Electric_Type_Icon.svg),Lightning Rod / Motor Drive,Sap Sipper,![/assets/home_images/zebstrika.png](/assets/home_images/zebstrika.png)
524,Roggenrola,5,Normal,Mantle Pokémon,280,55,75,85,25,25,15,![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Sturdy / Weak Armor,Sand Force,![/assets/home_images/roggenrola.png](/assets/home_images/roggenrola.png)
525,Boldore,5,Normal,Ore Pokémon,390,70,105,105,50,40,20,![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Sturdy / Weak Armor,Sand Force,![/assets/home_images/boldore.png](/assets/home_images/boldore.png)
526,Gigalith,5,Normal,Compressed Pokémon,515,85,135,130,60,80,25,![/assets/type_icons/Rock_Type_Icon.svg](/assets/type_icons/Rock_Type_Icon.svg),Sturdy / Sand Stream,Sand Force,![/assets/home_images/gigalith.png](/assets/home_images/gigalith.png)
527,Woobat,5,Normal,Bat Pokémon,323,65,45,43,55,43,72,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Unaware / Klutz,Simple,![/assets/home_images/woobat.png](/assets/home_images/woobat.png)
528,Swoobat,5,Normal,Courting Pokémon,425,67,57,55,77,55,114,![/assets/type_icons/Psychic_Type_Icon.svg](/assets/type_icons/Psychic_Type_Icon.svg) ![/assets/type_icons/Flying_Type_Icon.svg](/assets/type_icons/Flying_Type_Icon.svg),Unaware / Klutz,Simple,![/assets/home_images/swoobat.png](/assets/home_images/swoobat.png)
529,Drilbur,5,Normal,Mole Pokémon,328,60,85,40,30,45,68,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Sand Rush / Sand Force,Mold Breaker,![/assets/home_images/drilbur.png](/assets/home_images/drilbur.png)
530,Excadrill,5,Normal,Subterrene Pokémon,508,110,135,60,50,65,88,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg) ![/assets/type_icons/Steel_Type_Icon.svg](/assets/type_icons/Steel_Type_Icon.svg),Sand Rush / Sand Force,Mold Breaker,![/assets/home_images/excadrill.png](/assets/home_images/excadrill.png)
531,Audino,5,Normal,Hearing Pokémon,445,103,60,86,60,86,50,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg),Healer / Regenerator,Klutz,![/assets/home_images/audino.png](/assets/home_images/audino.png)
531,Mega Audino,5,Normal,Hearing Pokémon,545,103,60,126,80,126,50,![/assets/type_icons/Normal_Type_Icon.svg](/assets/type_icons/Normal_Type_Icon.svg) ![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Healer,-,![/assets/home_images/audino-mega.png](/assets/home_images/audino-mega.png)
532,Timburr,5,Normal,Muscular Pokémon,305,75,80,55,25,35,35,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Guts / Sheer Force,Iron Fist,![/assets/home_images/timburr.png](/assets/home_images/timburr.png)
533,Gurdurr,5,Normal,Muscular Pokémon,405,85,105,85,40,50,40,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Guts / Sheer Force,Iron Fist,![/assets/home_images/gurdurr.png](/assets/home_images/gurdurr.png)
534,Conkeldurr,5,Normal,Muscular Pokémon,505,105,140,95,55,65,45,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Guts / Sheer Force,Iron Fist,![/assets/home_images/conkeldurr.png](/assets/home_images/conkeldurr.png)
535,Tympole,5,Normal,Tadpole Pokémon,294,50,50,40,50,40,64,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Swift Swim / Hydration,Water Absorb,![/assets/home_images/tympole.png](/assets/home_images/tympole.png)
536,Palpitoad,5,Normal,Vibration Pokémon,384,75,65,55,65,55,69,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Swift Swim / Hydration,Water Absorb,![/assets/home_images/palpitoad.png](/assets/home_images/palpitoad.png)
537,Seismitoad,5,Normal,Vibration Pokémon,509,105,95,75,85,75,74,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg) ![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg),Swift Swim / Poison Touch,Water Absorb,![/assets/home_images/seismitoad.png](/assets/home_images/seismitoad.png)
538,Throh,5,Normal,Judo Pokémon,465,120,100,85,30,85,45,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Guts / Inner Focus,Mold Breaker,![/assets/home_images/throh.png](/assets/home_images/throh.png)
539,Sawk,5,Normal,Karate Pokémon,465,75,125,75,30,75,85,![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Sturdy / Inner Focus,Mold Breaker,![/assets/home_images/sawk.png](/assets/home_images/sawk.png)
540,Sewaddle,5,Normal,Sewing Pokémon,310,45,53,70,40,60,42,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Swarm / Chlorophyll,Overcoat,![/assets/home_images/sewaddle.png](/assets/home_images/sewaddle.png)
541,Swadloon,5,Normal,Leaf-Wrapped Pokémon,380,55,63,90,50,80,42,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Leaf Guard / Chlorophyll,Overcoat,![/assets/home_images/swadloon.png](/assets/home_images/swadloon.png)
542,Leavanny,5,Normal,Nurturing Pokémon,500,75,103,80,70,80,92,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Swarm / Chlorophyll,Overcoat,![/assets/home_images/leavanny.png](/assets/home_images/leavanny.png)
543,Venipede,5,Normal,Centipede Pokémon,260,30,45,59,30,39,57,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Swarm,Speed Boost,![/assets/home_images/venipede.png](/assets/home_images/venipede.png)
544,Whirlipede,5,Normal,Curlipede Pokémon,360,40,55,99,40,79,47,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Swarm,Speed Boost,![/assets/home_images/whirlipede.png](/assets/home_images/whirlipede.png)
545,Scolipede,5,Normal,Megapede Pokémon,485,60,100,89,55,69,112,![/assets/type_icons/Bug_Type_Icon.svg](/assets/type_icons/Bug_Type_Icon.svg) ![/assets/type_icons/Poison_Type_Icon.svg](/assets/type_icons/Poison_Type_Icon.svg),Poison Point / Swarm,Speed Boost,![/assets/home_images/scolipede.png](/assets/home_images/scolipede.png)
546,Cottonee,5,Normal,Cotton Puff Pokémon,280,40,27,60,37,50,66,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Prankster / Infiltrator,Chlorophyll,![/assets/home_images/cottonee.png](/assets/home_images/cottonee.png)
547,Whimsicott,5,Normal,Windveiled Pokémon,480,60,67,85,77,75,116,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg) ![/assets/type_icons/Fairy_Type_Icon.svg](/assets/type_icons/Fairy_Type_Icon.svg),Prankster / Infiltrator,Chlorophyll,![/assets/home_images/whimsicott.png](/assets/home_images/whimsicott.png)
548,Petilil,5,Normal,Bulb Pokémon,280,45,35,50,70,50,30,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Chlorophyll / Own Tempo,Leaf Guard,![/assets/home_images/petilil.png](/assets/home_images/petilil.png)
549,Lilligant,5,Normal,Flowering Pokémon,480,70,60,75,110,75,90,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg),Chlorophyll / Own Tempo,Leaf Guard,![/assets/home_images/lilligant.png](/assets/home_images/lilligant.png)
549,Hisuian Lilligant,5,Normal,Spinning Pokémon,480,70,105,75,50,75,105,![/assets/type_icons/Grass_Type_Icon.svg](/assets/type_icons/Grass_Type_Icon.svg)![/assets/type_icons/Fighting_Type_Icon.svg](/assets/type_icons/Fighting_Type_Icon.svg),Chlorophyll / Hustle,Leaf Guard,![/assets/home_images/lilligant-hisuian.png](/assets/home_images/lilligant-hisuian.png)
550,Basculin Red-Striped Form,5,Normal,Hostile Pokémon,460,70,92,65,80,55,98,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Reckless / Adaptability,Mold Breaker,![/assets/home_images/basculin-red-striped.png](/assets/home_images/basculin-red-striped.png)
550,Basculin Blue-Striped Form,5,Normal,Hostile Pokémon,460,70,92,65,80,55,98,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Rock Head / Adaptability,Mold Breaker,![/assets/home_images/basculin-blue-striped.png](/assets/home_images/basculin-blue-striped.png)
550,Basculin White-Striped Form,5,Normal,Mellow Pokémon,460,70,92,65,80,55,98,![/assets/type_icons/Water_Type_Icon.svg](/assets/type_icons/Water_Type_Icon.svg),Rattled / Adaptability,Mold Breaker,![/assets/home_images/basculin-white-striped.png](/assets/home_images/basculin-white-striped.png)
551,Sandile,5,Normal,Desert Croc Pokémon,292,50,72,35,35,35,65,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg) ![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Intimidate / Moxie,Anger Point,![/assets/home_images/sandile.png](/assets/home_images/sandile.png)
552,Krokorok,5,Normal,Desert Croc Pokémon,351,60,82,45,45,45,74,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg) ![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Intimidate / Moxie,Anger Point,![/assets/home_images/krokorok.png](/assets/home_images/krokorok.png)
553,Krookodile,5,Normal,Intimidation Pokémon,519,95,117,80,65,70,92,![/assets/type_icons/Ground_Type_Icon.svg](/assets/type_icons/Ground_Type_Icon.svg) ![/assets/type_icons/Dark_Type_Icon.svg](/assets/type_icons/Dark_Type_Icon.svg),Intimidate / Moxie,Anger Point,![/assets/home_images/krookodile.png](/assets/home_images/krookodile.png)
554,Darumaka,5,Normal,Zen Charm Pokémon,315,70,90,45,15,45,50,![/assets/type_icons/Fire_Type_Icon.svg](/assets/type_icons/Fire_Type_Icon.svg),Hustle,Inner Focus,![/assets/home_images/darumaka.png](/assets/home_images/darumaka.png)
